Species,Family,SVL,TL,SE,FLL,HLL,Fingers,Toes,N,Ecology,Source,PC1,PC2,PC3,Morph,Ecology
Agamodon anguliceps,Amphisbaenia,74.7,8.3,3.1,0,0,0,0,1,burrowing,Zug et al. (2001),-0.88,-0.41,-2.726,1,1
Amphisbaena alba,Amphisbaenia,474,40.1,12.6,0,0,0,0,6,burrowing,Zug et al. (2001),-1.078,2.057,-1.055,1,1
Bipes biporus,Amphisbaenia,167.2,16,3.6,6.1,0,5,0,6,burrowing,Zug et al. (2001),-0.021,0.566,-2.78,1,1
Bipes caniculatus,Amphisbaenia,182.5,29.6,4.5,6.5,0,4,0,3,burrowing,Zug et al. (2001),-0.22,0.634,-1.932,1,1
Bipes tridactylus,Amphisbaenia,127.5,36,3.7,6,0,3,0,2,burrowing,Zug et al. (2001),-0.418,0.028,-1.522,1,1
Blanus cinereus,Amphisbaenia,174.9,21.8,4.1,0,0,0,0,5,burrowing,Zug et al. (2001),-1.132,0.296,-1.673,1,1
Chirindia swimmertoni,Amphisbaenia,126,14.5,2,0,0,0,0,2,burrowing,Zug et al. (2001),-1.164,-0.536,-2.183,1,1
Diplometopon zarudnyi,Amphisbaenia,148.7,12.3,4.3,0,0,0,0,3,burrowing,Zug et al. (2001),-0.937,0.395,-2.378,1,1
Geocalamus acutus,Amphisbaenia,230.7,26.3,4.5,0,0,0,0,1,burrowing,Zug et al. (2001),-1.173,0.573,-1.497,1,1
Monopeltis capensis,Amphisbaenia,298.7,9.3,4.5,0,0,0,0,2,burrowing,Zug et al. (2001),-0.843,1.186,-2.95,1,1
Rhineura floridana,Amphisbaenia,317.2,16.5,5.4,0,0,0,0,5,burrowing,Zug et al. (2001),-0.985,1.207,-2.191,1,1
Trogonophis wiegmanni,Amphisbaenia,157.5,10.9,5.7,0,0,0,0,6,burrowing,Zug et al. (2001),-0.834,0.756,-2.528,1,1
Abronia graminea,Anguidae,96.2,144,13.1,22.9,30.5,5,5,8,arboreal,Campbell & Frost (1993),0.869,0.423,0.406,0,0
Anguis fragilis,Anguidae,142.3,148.1,6.7,0,0,0,0,13,terrestrial,Arnold & Burton (1978),-1.631,-0.122,0.971,2,0
Anniella geronimensis,Anguidae,118.5,51.9,4.3,0,0,0,0,12,burrowing,Stebbins (1985),-1.396,-0.332,-0.405,1,1
