species	h1	h2	h3	aquatic	dd
Acanthixalus_sonjae	1	0	2	0	0
Acanthixalus_spinosus	1	0	2	0	0
Acris_crepitans	0	0	0	1	0
Acris_gryllus	0	0	0	1	0
Adelophryne_gutturosa	2	2	3	0	1
Adelotus_brevis	1	0	1	0	0
Adenomera_andreae	1	1	2	0	0
Adenomera_hylaedactyla	1	1	2	0	0
Afrixalus_dorsalis	1	0	1	0	0
Afrixalus_fornasini	1	0	1	0	0
Afrixalus_stuhlmanni	1	0	1	0	0
Agalychnis_annae	1	0	1	0	0
Agalychnis_callidryas	1	0	1	0	0
Agalychnis_moreletii	1	0	1	0	0
Agalychnis_saltator	1	0	1	0	0
Agalychnis_spurrelli	1	0	1	0	0
Aglyptodactylus_laticeps	0	0	0	1	0
Aglyptodactylus_madagascariensis	0	0	0	1	0
Alexteroon_obstetricans	1	0	1	0	0
Allobates_femoralis	1	0	2	0	0
Allobates_talamancae	1	0	2	0	0
Allophryne_ruthveni	0	0	0	1	0
Alsodes_gargola	0	0	0	1	0
Alytes_cisternasii	1	0	1	0	0
Alytes_dickhilleni	1	0	1	0	0
Alytes_muletensis	1	0	1	0	0
Alytes_obstetricans	1	0	1	0	0
Ameerega_bilinguis	1	0	2	0	0
Ameerega_hahneli	1	0	2	0	0
Ameerega_parvula	1	0	2	0	0
Ameerega_picta	1	0	2	0	0
Ameerega_silverstonei	1	0	2	0	0
Ameerega_trivittata	1	0	2	0	0
Amietia_angolensis	0	0	0	1	0
Amietia_vertebralis	0	0	0	1	0
Amnirana_albolabris	0	0	0	1	0
Amnirana_galamensis	0	0	0	1	0
Amolops_cremnobatus	1	0	2	0	0
Amolops_hainanensis	1	0	1	0	0
Amolops_marmoratus	0	0	0	1	0
Amolops_panhai	0	0	0	1	0
Amolops_ricketti	0	0	0	1	0
Anhydrophryne_rattrayi	2	2	3	0	1
Anodonthyla_montana	0	1	2	0	0
Anodonthyla_rouxae	0	1	2	1	0
Anomaloglossus_stepheni	1	1	2	0	0
Anotheca_spinosa	0	0	2	0	0
Ansonia_hanitschi	0	0	0	1	0
Ansonia_leptopus	0	0	0	1	0
Ansonia_longidigita	0	0	0	1	0
Ansonia_spinulifer	0	0	0	1	0
Aphantophryne_pansa	2	2	3	0	1
Aplastodiscus_albosignatus	0	0	2	1	0
Aplastodiscus_arildae	0	0	2	1	0
Aplastodiscus_callipygius	0	0	2	1	0
Aplastodiscus_leucopygius	0	0	2	1	0
Aplastodiscus_perviridis	0	0	2	1	0
Arthroleptella_bicolor	2	2	3	0	1
Arthroleptella_villiersi	2	2	3	0	1
Arthroleptis_poecilonotus	2	2	3	0	1
Arthroleptis_schubotzi	2	2	3	0	1
Arthroleptis_stenodactylus	2	2	3	0	1
Arthroleptis_tanneri	2	2	3	0	1
Arthroleptis_variabilis	2	2	3	0	1
Arthroleptis_wahlbergii	2	2	3	0	1
Arthroleptis_xenodactyloides	2	2	3	0	1
Ascaphus_montanus	0	0	0	1	0
Ascaphus_truei	0	0	0	1	0
Assa_darlingtoni	1	0	2	0	0
Astylosternus_schioetzi	0	0	0	1	0
Atelognathus_patagonicus	0	0	0	1	0
Atelopus_spumarius	0	0	0	1	0
Barycholos_pulcher	2	2	3	0	1
Barygenys_flavigularis	2	2	3	0	1
Batrachyla_antartandica	1	0	1	0	0
Batrachyla_leptopus	1	0	1	0	0
Batrachyla_taeniata	1	0	1	0	0
Batrachylodes_vertebralis	2	2	3	0	1
Blommersia_kely	1	0	1	0	0
Blommersia_wittei	1	0	1	0	0
Boehmantis_microtympanum	0	0	0	1	0
Bokermannohyla_circumdata	0	0	1	1	0
Bokermannohyla_hylax	0	0	0	1	0
Bombina_bombina	0	0	0	1	0
Bombina_orientalis	0	0	0	1	0
Bombina_variegata	0	0	0	1	0
Boophis_albilabris	0	0	0	1	0
Boophis_luteus	0	0	0	1	0
Boophis_madagascariensis	0	0	0	1	0
Boophis_occidentalis	0	0	0	1	0
Boophis_tephraeomystax	0	0	0	1	0
Boophis_xerophilus	0	0	0	1	0
Brachycephalus_ephippium	2	2	3	0	1
Brachytarsophrys_feae	0	0	0	1	0
Breviceps_fuscus	2	2	3	0	1
Breviceps_mossambicus	1	1	2	0	0
Bryophryne_cophites	2	2	3	0	1
Buergeria_buergeri	0	0	0	1	0
Buergeria_japonica	0	0	0	1	0
Buergeria_robusta	0	0	0	1	0
Bufo_alvarius	0	0	0	1	0
Bufo_americanus	0	0	0	1	0
Bufo_angusticeps	0	0	0	1	0
Bufo_arenarum	0	0	0	1	0
Bufo_boreas	0	0	0	1	0
Bufo_bufo	0	0	0	1	0
Bufo_calamita	0	0	0	1	0
Bufo_cognatus	0	0	0	1	0
Bufo_dombensis	0	0	0	1	0
Bufo_gargarizans	0	0	0	1	0
Bufo_garmani	0	0	0	1	0
Bufo_granulosus	0	0	0	1	0
Bufo_gutturalis	0	0	0	1	0
Bufo_himalayanus	0	0	0	1	0
Bufo_ictericus	0	0	0	1	0
Bufo_japonicus	0	0	0	1	0
Bufo_maculatus	0	0	0	1	0
Bufo_marinus	0	0	0	1	0
Bufo_melanostictus	0	0	0	1	0
Bufo_microscaphus	0	0	0	1	0
Bufo_raddei	0	0	0	1	0
Bufo_regularis	0	0	0	1	0
Bufo_stomaticus	0	0	0	1	0
Bufo_taitanus	0	0	0	1	0
Bufo_vertebralis	0	0	0	1	0
Bufo_viridis	0	0	0	1	0
Cacosternum_boettgeri	0	0	0	1	0
Cacosternum_capense	0	0	0	1	0
Cacosternum_platys	0	0	0	1	0
Calluella_guttulata	0	0	0	1	0
Callulina_kisiwamsitu	2	2	3	0	1
Callulina_kreffti	2	2	3	0	1
Callulops_robustus	2	2	3	0	1
Calyptocephallela_gayi	0	0	0	1	0
Capensibufo_rosei	0	0	0	1	0
Capensibufo_tradouwi	0	0	0	1	0
Cardioglossa_gratiosa	0	0	0	1	0
Cardioglossa_leucomystax	1	0	1	0	0
Centrolene_geckoideum	1	0	1	0	0
Ceratobatrachus_guentheri	2	2	3	0	1
Ceratophrys_cornuta	0	0	0	1	0
Ceratophrys_ornata	0	0	0	1	0
Chaperina_fusca	0	0	0	1	0
Charadrahyla_taeniopus	0	0	0	1	0
Chiromantis_doriae	1	0	2	0	0
Chiromantis_rufescens	1	0	2	0	0
Chiromantis_vittatus	1	0	2	0	0
Chiromantis_xerampelina	1	0	2	0	0
Choerophryne_rostellifer	2	2	3	0	1
Cochranella_euknemos	1	0	1	0	0
Cochranella_granulosa	1	0	1	0	0
Conraua_crassipes	0	0	0	1	0
Conraua_goliath	0	0	0	1	0
Cophixalus_sphagnicola	2	2	3	0	1
Cophyla_phyllodactyla	0	1	2	0	0
Corythomantis_greeningi	0	0	2	1	0
Craugastor_augusti	2	2	3	0	1
Craugastor_daryi	2	2	3	0	1
Craugastor_longirostris	2	2	3	0	1
Craugastor_podiciferus	2	2	3	0	1
Craugastor_pygmaeus	2	2	3	0	1
Crinia_signifera	0	0	0	1	0
Crinia_tinnula	0	0	0	1	0
Crossodactylus_schmidti	0	0	1	1	0
Cruziohyla_calcarifer	1	0	2	0	0
Cryptothylax_greshoffii	1	0	1	0	0
Ctenophryne_geayi	0	0	0	1	0
Cycloramphus_acangatan	1	0	2	0	0
Cycloramphus_boraceiensis	1	0	2	0	0
Cyclorana_alboguttata	0	0	0	1	0
Cyclorana_australis	0	0	0	1	0
Cyclorana_brevipes	0	0	0	1	0
Cyclorana_longipes	0	0	0	1	0
Cyclorana_novaehollandiae	0	0	0	1	0
Dasypops_schirchi	0	0	0	1	0
Dendrobates_auratus	1	0	2	0	0
Dendrobates_castaneoticus	1	0	2	0	0
Dendrobates_histrionicus	1	0	2	0	0
Dendrobates_lehmanni	1	0	2	0	0
Dendrobates_leucomelas	1	0	2	0	0
Dendrobates_pumilio	1	0	2	0	0
Dendrobates_reticulatus	1	0	2	0	0
Dendrobates_steyermarki	1	0	2	0	0
Dendrobates_ventrimaculatus	1	0	2	1	0
Dendrophryniscus_minutus	1	0	1	0	0
Dendropsophus_anceps	0	0	0	1	0
Dendropsophus_berthalutzae	1	0	1	0	0
Dendropsophus_brevifrons	1	0	1	0	0
Dendropsophus_carnifex	0	0	0	1	0
Dendropsophus_ebraccatus	1	0	1	0	0
Dendropsophus_giesleri	1	0	1	0	0
Dendropsophus_koechlini	0	0	0	1	0
Dendropsophus_leali	0	0	0	1	0
Dendropsophus_leucophyllatus	1	0	1	0	0
Dendropsophus_marmoratus	0	0	0	1	0
Dendropsophus_parviceps	0	0	0	1	0
Dendropsophus_rhodopeplus	0	0	0	1	0
Dendropsophus_sarayacuensis	1	0	1	0	0
Dendropsophus_triangulum	1	0	1	0	0
Dermatonotus_muelleri	0	0	0	1	0
Diasporus_diastema	2	2	3	0	1
Didynamipus_sjostedti	2	2	3	0	1
Discodeles_guppyi	2	2	3	0	1
Discoglossus_galganoi	0	0	0	1	0
Discoglossus_pictus	0	0	0	1	0
Duellmanohyla_rufioculis	1	0	1	0	0
Duellmanohyla_soralia	1	0	1	0	0
Dyscophus_guineti	0	0	0	1	0
Ecnomiohyla_miliaria	1	0	2	1	0
Edalorhina_perezi	1	0	1	0	0
Elachistocleis_ovalis	0	0	0	1	0
